,camera,car,bus,truck,date_time
0,C00002.00865,1,0,0,1588601314.999386
1,C00001.02151,7,0,0,1588601315.555775
2,C00001.07450,3,1,0,1588601316.087372
3,C00001.03675,8,0,2,1588601316.625477
4,C00001.09747,4,0,0,1588601317.173787
5,C00001.06600,2,0,0,1588601317.683497
6,C00001.08858,0,2,0,1588601318.230513
7,C00001.03758,3,0,0,1588601318.752536
8,C00001.02900,10,0,0,1588601319.339028
9,C00001.04235,3,0,0,1588601319.862987
10,C00001.04353,1,0,0,1588601320.453755
11,C00002.00635,2,0,0,1588601320.93002
12,C00001.04568,3,0,0,1588601321.473818
13,C00001.07929,6,0,0,1588601322.032338
14,C00001.06649,6,1,0,1588601322.589379
15,C00001.03762,15,0,2,1588601323.178509
16,C00001.06519,0,0,0,1588601323.696461
17,C00001.04214,5,0,0,1588601324.283245
18,C00001.04653,1,0,0,1588601324.816736
19,C00001.06511,2,4,0,1588601325.370633
20,C00001.03757,0,0,0,1588601325.889917
21,C00001.03819,0,0,0,1588601326.417416
22,C00001.04640,0,0,0,1588601326.969204
23,C00001.04565,3,0,0,1588601327.451699
24,C00001.04331,0,0,0,1588601327.995784
25,C00001.02150,2,2,0,1588601328.522778
26,C00002.00268,5,2,2,1588601329.111311
27,C00001.09702,3,3,0,1588601329.654945
28,C00001.06518,4,0,0,1588601330.271959
29,C00001.03600,2,0,0,1588601330.792105
30,C00001.06602,5,0,2,1588601331.709305
31,C00001.07365,8,1,0,1588601332.34507
32,C00001.04407,6,0,1,1588601332.850911
33,C00001.06580,4,0,0,1588601333.366753
34,C00001.01429,4,0,1,1588601335.710791
35,C00001.03507,2,0,0,1588601336.400633
36,C00001.03751,1,0,0,1588601337.021148
37,C00001.05825,2,0,0,1588601337.646381
38,C00001.01601,5,0,0,1588601338.227318
39,C00001.06708,3,0,1,1588601338.831658
40,C00001.04546,3,1,0,1588601339.387326
41,C00001.06692,4,0,0,1588601339.924953
42,C00001.04649,4,0,0,1588601340.582328
43,C00001.06506,0,0,1,1588601341.088618
44,C00001.09609,7,0,0,1588601341.701158
45,C00001.06522,7,1,0,1588601342.277844
46,C00001.07311,9,0,0,1588601342.81157
47,C00002.00823,6,0,1,1588601343.458091
48,C00001.09622,10,1,1,1588601344.043645
49,C00001.04564,2,1,0,1588601344.640281
50,C00001.08861,0,0,0,1588601345.307918
51,C00001.01401,2,1,1,1588601345.827889
52,C00001.02110,2,0,0,1588601346.394993
53,C00001.02310,1,0,0,1588601346.930173
54,C00001.09650,0,1,1,1588601347.454675
55,C00001.09078,9,0,0,1588601348.077616
56,C00001.03815,10,1,1,1588601348.609239
57,C00001.09800,0,0,0,1588601349.11819
58,C00001.04634,2,0,0,1588601349.62552
59,C00001.06584,1,0,0,1588601350.167763
60,C00001.01441,8,0,1,1588601350.695868
61,C00001.06611,1,0,0,1588601351.222152
62,C00001.04328,10,0,0,1588601351.745189
63,C00001.09616,3,1,0,1588601352.288083
64,C00001.03653,1,0,0,1588601352.797988
65,C00001.06921,2,1,0,1588601353.326557
66,C00001.06948,2,0,0,1588601353.865393
67,C00001.08008,7,0,0,1588601354.52422
68,C00001.03654,0,0,0,1588601355.098434
69,C00001.01438,8,0,0,1588601355.66898
70,C00002.00853,6,0,0,1588601356.269507
71,C00001.01606,7,1,0,1588601356.781537
72,C00001.09711,7,0,1,1588601357.294143
73,C00001.04560,8,0,0,1588601357.822571
74,C00001.04530,9,0,0,1588601358.352564
75,C00001.07357,5,0,0,1588601358.876002
76,C00001.07321,1,0,0,1588601359.415615
77,C00001.02500,0,0,0,1588601359.997076
78,C00001.09061,8,0,0,1588601360.573373
79,C00002.00618,5,0,1,1588601361.101218
80,C00001.09742,5,0,0,1588601361.63741
81,C00001.01432,2,0,0,1588601362.201391
82,C00001.04150,2,0,0,1588601362.739792
83,C00001.06607,8,0,0,1588601363.312902
84,C00001.08980,7,0,2,1588601363.850656
85,C00001.06738,9,0,1,1588601364.393262
86,C00002.00338,8,0,0,1588601364.974279
87,C00001.04669,6,0,0,1588601365.557519
88,C00001.02001,0,0,0,1588601366.232078
89,C00001.03720,0,0,0,1588601366.844662
90,C00001.04679,2,0,0,1588601367.451132
91,C00001.06500,3,0,0,1588601368.015002
92,C00001.04427,0,0,0,1588601368.585636
93,C00001.04655,5,0,0,1588601369.162635
94,C00002.00813,8,1,1,1588601369.74789
95,C00001.04616,10,0,2,1588601370.393847
96,C00002.00861,2,0,1,1588601371.031031
97,C00001.03817,5,0,0,1588601371.648886
98,C00001.04613,1,0,0,1588601372.302604
99,C00001.03721,4,0,1,1588601372.86651
